GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-authentication,com.mediscreen.msauthentication.controller,AuthenticationController,4,21,1,1,1,3,1,3,0,3
ms-authentication,com.mediscreen.msauthentication.configuration,AppConfiguration,0,24,0,0,0,4,0,4,0,4
ms-authentication,com.mediscreen.msauthentication.configuration,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
ms-authentication,com.mediscreen.msauthentication.configuration,SwaggerConfiguration,0,14,0,0,0,6,0,2,0,2
ms-authentication,com.mediscreen.msauthentication.configuration,MVCConfiguration,0,4,0,0,0,2,0,2,0,2
ms-authentication,com.mediscreen.msauthentication.configuration,AppProperties,0,24,0,0,0,10,0,7,0,7
ms-authentication,com.mediscreen.msauthentication.service,JwtService,40,98,0,0,12,30,0,3,0,3
ms-authentication,com.mediscreen.msauthentication.service,SecurityService,0,103,1,17,0,21,1,11,0,3
ms-authentication,com.mediscreen.msauthentication.model,Login,0,36,0,0,0,16,0,8,0,8
ms-authentication,com.mediscreen.msauthentication.model,Jwt,3,33,0,0,2,14,1,7,1,7
ms-authentication,com.mediscreen.msauthentication,MsAuthenticationApplication,5,3,0,0,2,1,1,1,1,1
ms-authentication,com.mediscreen.msauthentication.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
ms-authentication,com.mediscreen.msauthentication.exception,NotAllowedException,0,4,0,0,0,2,0,1,0,1
