GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-clientUI,com.mediscreen.msclientui,MsClientUiApplication,5,3,0,0,2,1,1,1,1,1
ms-clientUI,com.mediscreen.msclientui.exception,NotFoundException,4,0,0,0,2,0,1,0,1,0
ms-clientUI,com.mediscreen.msclientui.exception,NotAllowedException,4,0,0,0,2,0,1,0,1,0
ms-clientUI,com.mediscreen.msclientui.exception,CustomErrorDecoder,19,8,3,0,4,2,3,1,1,1
ms-clientUI,com.mediscreen.msclientui.exception,EmptyDataException,4,0,0,0,2,0,1,0,1,0
ms-clientUI,com.mediscreen.msclientui.utils,FileUtils,53,0,10,0,10,0,7,0,2,0
ms-clientUI,com.mediscreen.msclientui.utils,ControllerUtils,34,3,2,0,6,1,5,1,4,1
ms-clientUI,com.mediscreen.msclientui.service,PatientService,136,3,14,0,17,1,13,1,6,1
ms-clientUI,com.mediscreen.msclientui.service,MedicalRecordService,83,3,8,0,13,1,7,1,3,1
ms-clientUI,com.mediscreen.msclientui.service,SecurityService,88,3,18,0,15,2,12,1,3,1
ms-clientUI,com.mediscreen.msclientui.controller,AuthenticateController,90,3,2,0,17,1,4,1,3,1
ms-clientUI,com.mediscreen.msclientui.controller,MedicalRecordController,42,3,0,0,9,1,2,1,2,1
ms-clientUI,com.mediscreen.msclientui.controller,RooterController,16,3,2,0,3,1,2,1,1,1
ms-clientUI,com.mediscreen.msclientui.controller,PatientController,249,3,12,0,36,1,14,1,8,1
ms-clientUI,com.mediscreen.msclientui.configuration,AppProperties,3,7,0,0,1,3,1,2,1,2
ms-clientUI,com.mediscreen.msclientui.configuration,FeignConfiguration,0,7,0,0,0,2,0,2,0,2
ms-clientUI,com.mediscreen.msclientui.configuration,SwaggerConfiguration,0,14,0,0,0,6,0,2,0,2
ms-clientUI,com.mediscreen.msclientui.configuration,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
ms-clientUI,com.mediscreen.msclientui.configuration,AppConfiguration,0,23,0,0,0,6,0,6,0,6
ms-clientUI,com.mediscreen.msclientui.model,Login,3,33,0,0,2,14,1,7,1,7
ms-clientUI,com.mediscreen.msclientui.model,Patient,29,103,0,0,4,42,2,21,2,21
ms-clientUI,com.mediscreen.msclientui.model,MedicalRecord,24,73,0,0,10,30,2,15,2,15
ms-clientUI,com.mediscreen.msclientui.model,Jwt,3,33,0,0,2,14,1,7,1,7
