GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-medicalRecord,com.mediscreen.msmedicalrecord.dao,MedicalRecordDao,277,20,20,0,43,6,15,1,5,1
ms-medicalRecord,com.mediscreen.msmedicalrecord,MsMedicalRecordApplication,5,3,0,0,2,1,1,1,1,1
ms-medicalRecord,com.mediscreen.msmedicalrecord.model,Patient,0,96,0,0,0,40,0,20,0,20
ms-medicalRecord,com.mediscreen.msmedicalrecord.model,MedicalRecord,3,94,0,0,2,38,1,16,1,16
ms-medicalRecord,com.mediscreen.msmedicalrecord.exception,CustomErrorDecoder,19,8,3,0,4,2,3,1,1,1
ms-medicalRecord,com.mediscreen.msmedicalrecord.exception,NoContent,4,0,0,0,2,0,1,0,1,0
ms-medicalRecord,com.mediscreen.msmedicalrecord.exception,NotAllowedException,0,4,0,0,0,2,0,1,0,1
ms-medicalRecord,com.mediscreen.msmedicalrecord.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
ms-medicalRecord,com.mediscreen.msmedicalrecord.exception,EmptyDataException,0,4,0,0,0,2,0,1,0,1
ms-medicalRecord,com.mediscreen.msmedicalrecord.service,SecurityService,1,32,1,3,1,8,1,4,0,3
ms-medicalRecord,com.mediscreen.msmedicalrecord.service,MedicalRecordService,26,104,3,17,0,25,3,12,0,5
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,FeignConfiguration,0,7,0,0,0,2,0,2,0,2
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,AppConfiguration,0,29,0,0,0,6,0,6,0,6
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,MVCConfiguration,0,4,0,0,0,2,0,2,0,2
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,SwaggerConfiguration,0,14,0,0,0,6,0,2,0,2
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,AppProperties,0,38,0,0,0,16,0,11,0,11
ms-medicalRecord,com.mediscreen.msmedicalrecord.configuration,DatabaseConfiguration,120,55,13,5,28,11,13,2,4,2
ms-medicalRecord,com.mediscreen.msmedicalrecord.controller,MedicalRecordController,65,3,8,0,12,1,7,1,3,1
