GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-patientAdmin,com.mediscreen.mspatientadmin.model,Patient,3,93,0,0,2,38,1,19,1,19
ms-patientAdmin,com.mediscreen.mspatientadmin,MsPatientAdminApplication,5,3,0,0,2,1,1,1,1,1
ms-patientAdmin,com.mediscreen.mspatientadmin.utils,ArrayUtil,41,0,2,0,9,0,3,0,2,0
ms-patientAdmin,com.mediscreen.mspatientadmin.dao,DaoManager,186,10,4,0,37,4,4,1,2,1
ms-patientAdmin,com.mediscreen.mspatientadmin.dao,PatientDao,742,5,12,0,161,2,12,1,6,1
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,AppProperties,0,38,0,0,0,16,0,11,0,11
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,AppConfiguration,0,29,0,0,0,6,0,6,0,6
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,DatabaseConfiguration,98,32,16,0,27,9,13,1,5,1
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,MVCConfiguration,0,4,0,0,0,2,0,2,0,2
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,SwaggerConfiguration,0,14,0,0,0,6,0,2,0,2
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,FeignConfiguration,0,7,0,0,0,2,0,2,0,2
ms-patientAdmin,com.mediscreen.mspatientadmin.configuration,HttpTraceActuatorConfiguration,0,7,0,0,0,2,0,2,0,2
ms-patientAdmin,com.mediscreen.mspatientadmin.exception,NotAllowedException,0,4,0,0,0,2,0,1,0,1
ms-patientAdmin,com.mediscreen.mspatientadmin.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
ms-patientAdmin,com.mediscreen.mspatientadmin.exception,EmptyDataException,0,4,0,0,0,2,0,1,0,1
ms-patientAdmin,com.mediscreen.mspatientadmin.exception,CustomErrorDecoder,19,8,3,0,4,2,3,1,1,1
ms-patientAdmin,com.mediscreen.mspatientadmin.exception,InternalServerErrorException,4,0,0,0,2,0,1,0,1,0
ms-patientAdmin,com.mediscreen.mspatientadmin.controller,PatientController,117,3,12,0,23,1,12,1,6,1
ms-patientAdmin,com.mediscreen.mspatientadmin.service,PatientService,6,95,1,15,2,22,1,14,0,7
ms-patientAdmin,com.mediscreen.mspatientadmin.service,SecurityService,1,32,1,3,1,8,1,4,0,3
